"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-13 00:55:47","VIRTUAL","Open Long","Fulfill Taker","155.2 VIRTUAL","1.3147","$204.04","$0.08","-$0.08"
"2025-11-13 00:55:44","ENA","Open Long","Fulfill Taker","644 ENA","0.31797","$204.77","$0.08","-$0.08"
"2025-11-13 00:40:37","LINK","Close Short","Fulfill Taker","13.1 LINK","15.527","$203.4","$0.08","-$2.12"
"2025-11-13 00:16:33","2Z","Close Short","Fulfill Taker","722 2Z","0.1646","$118.84","$0.05","+$3.42"
"2025-11-12 23:55:16","UNI","Open Long","Fulfill Taker","27 UNI","7.9","$213.3","$0.09","-$0.09"
"2025-11-12 23:55:16","AAVE","Close Short","Fulfill Taker","0.98 AAVE","207.81","$203.65","$0.08","+$1.74"
"2025-11-12 23:09:55","ZEC","Open Short","Fulfill Taker","0.44 ZEC","502.39","$221.05","$0.09","-$0.09"
"2025-11-12 22:39:43","UNI","Close Short","Fulfill Taker","32 UNI","7.808","$249.86","$0.1","+$0.09"
"2025-11-12 22:24:36","ZEC","Close Long","Fulfill Taker","0.5 ZEC","526.53","$263.27","$0.11","+$0.71"
"2025-11-12 22:11:31","AVAX","Close Short","Fulfill Taker","12.5 AVAX","16.989","$212.36","$0.08","-$2.76"
"2025-11-12 22:11:30","PUMP","Close Short","Fulfill Taker","52247 PUMP","0.004023","$210.19","$0.08","-$5.41"
"2025-11-12 22:09:29","CRV","Close Short","Fulfill Taker","516.1 CRV","0.4557","$235.19","$0.09","-$3.76"
"2025-11-12 21:09:59","LDO","Close Short","Fulfill Taker","283.6 LDO","0.7991","$226.62","$0.09","-$2.5"
"2025-11-12 20:54:52","DOGE","Close Short","Fulfill Taker","1225 DOGE","0.17006","$208.32","$0.08","-$0.9"
"2025-11-12 20:29:39","XPL","Close Long","Fulfill Taker","796 XPL","0.259","$206.16","$0.08","-$5.73"
"2025-11-12 20:28:36","PUMP","Open Short","Fulfill Taker","52247 PUMP","0.003921","$204.86","$0.08","-$0.08"
"2025-11-12 20:27:35","PUMP","Close Short","Fulfill Taker","52485 PUMP","0.003928","$206.16","$0.08","+$10.57"
"2025-11-12 18:53:55","PENGU","Close Short","Fulfill Taker","14094 PENGU","0.014497","$204.32","$0.08","+$1.62"
"2025-11-12 18:38:38","ASTER","Close Short","Fulfill Taker","178.6 ASTER","1.13476","$202.67","$0.08","+$1.25"
"2025-11-12 17:53:15","XPL","Open Long","Fulfill Taker","796 XPL","0.2661","$211.82","$0.08","-$0.08"
"2025-11-12 17:53:15","HYPE","Close Short","Fulfill Taker","4.49 HYPE","38.59","$173.27","$0.07","-$1.61"
"2025-11-12 17:53:15","HYPE","Close Short","Fulfill Taker","1.21 HYPE","38.583","$46.69","$0.02","-$0.43"
"2025-11-12 17:39:06","ZEC","Open Long","Fulfill Taker","0.5 ZEC","524.89","$262.45","$0.1","-$0.1"
"2025-11-12 17:38:06","MON","Close Short","Fulfill Taker","2419 MON","0.05234","$126.61","$0.05","-$1.33"
"2025-11-12 17:33:54","XPL","Close Short","Fulfill Maker","799 XPL","0.268","$214.13","$0.03","-$5.94"
"2025-11-12 17:33:17","LTC","Close Short","Fulfill Taker","2 LTC","98.48","$196.96","$0.08","-$6.02"
"2025-11-12 17:22:46","FARTCOIN","Close Short","Fulfill Taker","942.2 FARTCOIN","0.2824","$266.08","$0.11","-$10.66"
"2025-11-12 17:03:05","TAO","Close Short","Fulfill Taker","0.56 TAO","343.78","$192.52","$0.08","+$8.84"
"2025-11-12 16:32:19","FARTCOIN","Open Short","Fulfill Taker","942.2 FARTCOIN","0.2712","$255.52","$0.1","-$0.1"
"2025-11-12 16:08:33","CRV","Open Short","Fulfill Taker","516.1 CRV","0.4486","$231.52","$0.09","-$0.09"
"2025-11-12 16:07:41","FARTCOIN","Close Short","Fulfill Taker","546.4 FARTCOIN","0.273","$149.17","$0.06","+$8.41"
"2025-11-12 16:07:41","FARTCOIN","Close Short","Fulfill Taker","183.4 FARTCOIN","0.2725","$49.98","$0.02","+$2.91"
"2025-11-12 16:06:26","AVAX","Open Short","Fulfill Taker","12.5 AVAX","16.775","$209.69","$0.08","-$0.08"
"2025-11-12 15:44:23","ZEC","Close Short","Fulfill Taker","0.45 ZEC","480.58","$216.26","$0.09","-$9.21"
"2025-11-12 14:10:44","LTC","Open Short","Fulfill Taker","2 LTC","95.51","$191.02","$0.08","-$0.08"
"2025-11-12 13:47:45","HYPE","Open Short","Fulfill Taker","5.8 HYPE","38.246","$221.83","$0.09","-$0.09"
"2025-11-12 13:44:08","HYPE","Close Short","Fulfill Taker","5.7 HYPE","38.52","$219.56","$0.09","-$5.59"
"2025-11-12 13:44:08","HYPE","Close Short","Fulfill Taker","0.3 HYPE","38.506","$11.55","$0","-$0.29"
"2025-11-12 13:31:04","PUMP","Open Short","Fulfill Taker","52485 PUMP","0.004131","$216.82","$0.09","-$0.09"
"2025-11-12 13:30:27","VIRTUAL","Close Short","Fulfill Maker","157.3 VIRTUAL","1.2465","$196.07","$0.03","+$13.66"
"2025-11-12 13:26:52","HYPE","Open Short","Fulfill Taker","6 HYPE","37.555","$225.33","$0.09","-$0.09"
"2025-11-12 13:26:17","HYPE","Close Short","Fulfill Maker","5.2 HYPE","37.611","$195.58","$0.03","+$7.51"
"2025-11-12 13:22:42","DOGE","Open Short","Fulfill Taker","1225 DOGE","0.16939","$207.5","$0.08","-$0.08"
"2025-11-12 13:22:38","SOL","Open Short","Fulfill Taker","1.35 SOL","153.24","$206.87","$0.08","-$0.08"
"2025-11-12 13:20:35","2Z","Open Short","Fulfill Taker","722 2Z","0.1694","$122.31","$0.05","-$0.05"
"2025-11-12 13:12:26","LDO","Open Short","Fulfill Taker","283.6 LDO","0.7906","$224.21","$0.09","-$0.09"
"2025-11-12 13:11:29","LDO","Close Short","Fulfill Taker","252.5 LDO","0.7899","$199.45","$0.08","+$7.72"
"2025-11-12 13:07:20","PENGU","Open Short","Fulfill Taker","14094 PENGU","0.014618","$206.03","$0.08","-$0.08"
"2025-11-12 13:07:17","LINK","Open Short","Fulfill Taker","13.2 LINK","15.371","$202.9","$0.08","-$0.08"
"2025-11-12 13:07:15","FARTCOIN","Open Short","Fulfill Taker","729.8 FARTCOIN","0.2885","$210.55","$0.08","-$0.08"
